MainBranch,Employment,Country,US_State,Age1stCode,YearsCode,YearsCodePro,OrgSize,CompFreq,OpSys,SOVisitFreq,SOAccount,SOPartFreq,Age,Gender,Trans,ConvertedCompYearly
I am a developer by profession,Employed full-time,Sweden,NA,11 - 17 years,7,4,10 to 19 employees,Monthly,Linux-based,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,51552
I am a developer by profession,Employed full-time,Spain,NA,11 - 17 years,12,5,10 to 19 employees,Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,46482
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,15,6,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,77290
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,9,2,10 to 19 employees,Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,38915
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,26,18,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per week,35-44 years old,Man,No,77831
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Switzerland,NA,11 - 17 years,14,5,"5,000 to 9,999 employees",Yearly,Linux-based,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,81319
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,39,21,"5,000 to 9,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per week,45-54 years old,Man,No,68507
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,19,10,500 to 999 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,60535
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,France,NA,11 - 17 years,6,3,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,25944
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,34,12,"1,000 to 4,999 employees",Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,64630
I am a developer by profession,Employed full-time,Italy,NA,5 - 10 years,21,16,500 to 999 employees,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,35-44 years old,Man,No,54049
I am a developer by profession,Employed full-time,Spain,NA,11 - 17 years,20,10,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,A few times per week,35-44 years old,Man,No,58373
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,24,18,"5,000 to 9,999 employees",Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,129266
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Poland,NA,11 - 17 years,12,8,"5,000 to 9,999 employees",Monthly,Linux-based,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,45564
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Sweden,NA,11 - 17 years,10,3,"1,000 to 4,999 employees",Monthly,Linux-based,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,40500
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,26,14,10 to 19 employees,Yearly,Windows,A few times per month or weekly,Yes,A few times per month or weekly,35-44 years old,Man,No,61398
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,10,Less than 1 year,100 to 499 employees,Monthly,Linux-based,A few times per week,Yes,Less than once per month or monthly,18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,518868
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,10,4,2 to 9 employees,Monthly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,27336
I am a developer by profession,Employed full-time,Sweden,NA,18 - 24 years,10,7,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,5216
