MainBranch,Employment,Country,US_State,Age1stCode,YearsCode,YearsCodePro,OrgSize,CompFreq,OpSys,SOVisitFreq,SOAccount,SOPartFreq,Age,Gender,Trans,ConvertedCompYearly
I am a developer by profession,Employed full-time,United States of America,District of Columbia,11 - 17 years,8,Less than 1 year,20 to 99 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per week,18-24 years old,Man,No,103000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,18 - 24 years,20,15,"1,000 to 4,999 employees",Yearly,MacOS,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,300000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,New York,11 - 17 years,13,5,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,130000
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,25,15,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,45-54 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,18,1,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Iowa,11 - 17 years,12,6,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,140000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,7,1,"1,000 to 4,999 employees",Yearly,Windows,A few times per month or weekly,Yes,Less than once per month or monthly,18-24 years old,Man,No,54000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,38,34,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,45-54 years old,Man,No,200000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,South Carolina,18 - 24 years,15,4,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,18-24 years old,Man,No,98500
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,5 - 10 years,41,24,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,115000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,11 - 17 years,10,9,2 to 9 employees,Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Nebraska,18 - 24 years,10,5,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,90000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Massachusetts,18 - 24 years,9,2,"1,000 to 4,999 employees",Yearly,Linux-based,A few times per week,No,NA,25-34 years old,Woman,No,193000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,10,6,"10,000 or more employees",Weekly,Windows,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,2650000
I am a developer by profession,Employed full-time,United States of America,Tennessee,11 - 17 years,30,22,100 to 499 employees,Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,165000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Connecticut,11 - 17 years,2,2,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,18-24 years old,Man,No,60000
I am a developer by profession,Employed full-time,United States of America,Texas,18 - 24 years,18,13,500 to 999 employees,Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,160000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Virginia,11 - 17 years,20,9,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,107972
I am a developer by profession,Employed full-time,United States of America,Missouri,11 - 17 years,24,16,I don’t know,Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,120000
I am a developer by profession,Employed full-time,United States of America,New Hampshire,11 - 17 years,22,13,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,115000
I am a developer by profession,Employed full-time,United States of America,Colorado,5 - 10 years,21,12,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Woman,No,144000
I am a developer by profession,Employed full-time,United States of America,Colorado,18 - 24 years,22,22,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,35-44 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,14,10,"1,000 to 4,999 employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Texas,5 - 10 years,25,15,2 to 9 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,120000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Texas,25 - 34 years,41,39,100 to 499 employees,Yearly,Windows,A few times per week,Not sure/can't remember,NA,65 years or older,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,15,4,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Woman,No,58000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,8,4,500 to 999 employees,Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,74000
I am a developer by profession,Employed full-time,United States of America,Kentucky,5 - 10 years,18,1,2 to 9 employees,Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,40000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Pennsylvania,Younger than 5 years,20,6,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,Multiple times per day,35-44 years old,Man,No,90000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,12,3,20 to 99 employees,Yearly,MacOS,A few times per month or weekly,Not sure/can't remember,NA,18-24 years old,Man,No,67000
I am a developer by profession,Employed full-time,United States of America,New Jersey,5 - 10 years,25,16,500 to 999 employees,Yearly,Linux-based,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,195000
